ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCF8194C19724BF560F0AFE16534C5B1C3,2023-04-20 00:00:00,001,颗粒物,,20,,0,0,2023-04-21T12:35:07.153,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCF8194C19724BF560F0AFE16534C5B1C3,2023-04-20 00:00:00,002,二氧化硫,,80,,0,0,2023-04-21T12:35:07.153,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCF8194C19724BF560F0AFE16534C5B1C3,2023-04-20 00:00:00,003,氮氧化物,,250,,0,0,2023-04-21T12:35:07.153,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCF8194C19724BF560F0AFE16534C5B1C3,2023-04-20 00:00:00,004,一氧化碳,,80,,0,0,2023-04-21T12:35:07.153,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCF8194C19724BF560F0AFE16534C5B1C3,2023-04-20 00:00:00,008,氯化氢,,50,,0,0,2023-04-21T12:35:07.153,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCA670D301CA16DD04F658D2413A84008F,2023-04-20 00:00:00,001,颗粒物,3.23,20,,0,0,2023-04-21T12:35:07.123,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCA670D301CA16DD04F658D2413A84008F,2023-04-20 00:00:00,002,二氧化硫,41.697,80,,0,0,2023-04-21T12:35:07.123,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCA670D301CA16DD04F658D2413A84008F,2023-04-20 00:00:00,003,氮氧化物,92.885,250,,0,0,2023-04-21T12:35:07.123,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCA670D301CA16DD04F658D2413A84008F,2023-04-20 00:00:00,004,一氧化碳,6.104,80,,0,0,2023-04-21T12:35:07.123,2023-04-22T14:30:50.217,20230420
4DD62AE0499709BC075A28BAB48E4B04,4DD62AE0499709BCA670D301CA16DD04F658D2413A84008F,2023-04-20 00:00:00,008,氯化氢,22.321,50,,0,0,2023-04-21T12:35:07.123,2023-04-22T14:30:50.217,20230420
