ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231BFBC2769877A8C7C,2023-04-02 00:00:00,001,颗粒物,1.18,20,,0,0,2023-04-03T12:35:06.07,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231BFBC2769877A8C7C,2023-04-02 00:00:00,002,二氧化硫,26.39,80,,0,0,2023-04-03T12:35:06.07,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231BFBC2769877A8C7C,2023-04-02 00:00:00,003,氮氧化物,71.12,100,,0,0,2023-04-03T12:35:06.07,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231BFBC2769877A8C7C,2023-04-02 00:00:00,004,一氧化碳,10.54,80,,0,0,2023-04-03T12:35:06.07,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231BFBC2769877A8C7C,2023-04-02 00:00:00,008,氯化氢,23.24,50,,0,0,2023-04-03T12:35:06.07,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23135EEF978D4DF9AAB,2023-04-02 00:00:00,001,颗粒物,,20,,0,0,2023-04-03T12:35:06.067,2023-04-05T14:30:36.227,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23135EEF978D4DF9AAB,2023-04-02 00:00:00,002,二氧化硫,,80,,0,0,2023-04-03T12:35:06.067,2023-04-05T14:30:36.227,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23135EEF978D4DF9AAB,2023-04-02 00:00:00,003,氮氧化物,,250,,0,0,2023-04-03T12:35:06.067,2023-04-05T14:30:36.227,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23135EEF978D4DF9AAB,2023-04-02 00:00:00,004,一氧化碳,,80,,0,0,2023-04-03T12:35:06.067,2023-04-05T14:30:36.227,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23135EEF978D4DF9AAB,2023-04-02 00:00:00,008,氯化氢,,50,,0,0,2023-04-03T12:35:06.07,2023-04-05T14:30:36.227,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231026B145064455007,2023-04-02 00:00:00,001,颗粒物,2.48,20,,0,0,2023-04-03T12:35:06.073,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231026B145064455007,2023-04-02 00:00:00,002,二氧化硫,42.15,80,,0,0,2023-04-03T12:35:06.073,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231026B145064455007,2023-04-02 00:00:00,003,氮氧化物,74.96,250,,0,0,2023-04-03T12:35:06.073,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231026B145064455007,2023-04-02 00:00:00,004,一氧化碳,18.35,80,,0,0,2023-04-03T12:35:06.073,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D231026B145064455007,2023-04-02 00:00:00,008,氯化氢,23.89,50,,0,0,2023-04-03T12:35:06.073,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23146CD9D79D74CAC08,2023-04-02 00:00:00,001,颗粒物,2.7,20,,0,0,2023-04-03T12:35:06.067,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23146CD9D79D74CAC08,2023-04-02 00:00:00,002,二氧化硫,22.79,80,,0,0,2023-04-03T12:35:06.067,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23146CD9D79D74CAC08,2023-04-02 00:00:00,003,氮氧化物,73.01,100,,0,0,2023-04-03T12:35:06.067,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23146CD9D79D74CAC08,2023-04-02 00:00:00,004,一氧化碳,19.15,80,,0,0,2023-04-03T12:35:06.067,2023-04-04T14:31:38.847,20230402
85B6CA827F48D2318CE907623F2C470D,85B6CA827F48D23146CD9D79D74CAC08,2023-04-02 00:00:00,008,氯化氢,23.87,50,,0,0,2023-04-03T12:35:06.067,2023-04-04T14:31:38.847,20230402
