ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501110E7EB5353EAC,2023-04-23 00:00:00,001,颗粒物,7.232,20,,0,0,2023-04-24T12:35:04.863,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501110E7EB5353EAC,2023-04-23 00:00:00,002,二氧化硫,30.103,80,,0,0,2023-04-24T12:35:04.863,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501110E7EB5353EAC,2023-04-23 00:00:00,003,氮氧化物,114.116,250,,0,0,2023-04-24T12:35:04.863,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501110E7EB5353EAC,2023-04-23 00:00:00,004,一氧化碳,0.636,80,,0,0,2023-04-24T12:35:04.863,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501110E7EB5353EAC,2023-04-23 00:00:00,008,氯化氢,6.334,50,,0,0,2023-04-24T12:35:04.86,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501EFB179E89F1A32,2023-04-23 00:00:00,001,颗粒物,4.441,20,,0,0,2023-04-24T12:35:05.537,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501EFB179E89F1A32,2023-04-23 00:00:00,002,二氧化硫,29.02,80,,0,0,2023-04-24T12:35:05.537,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501EFB179E89F1A32,2023-04-23 00:00:00,003,氮氧化物,117.341,250,,0,0,2023-04-24T12:35:05.537,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501EFB179E89F1A32,2023-04-23 00:00:00,004,一氧化碳,1.034,80,,0,0,2023-04-24T12:35:05.537,2023-04-25T14:34:32.657,20230423
C37960398A6B311584A6FBC5F2E6E388,C37960398A6B311501EFB179E89F1A32,2023-04-23 00:00:00,008,氯化氢,1.418,50,,0,0,2023-04-24T12:35:05.537,2023-04-25T14:34:32.657,20230423
