ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4FC7EAAF40531BF40,2023-04-23 00:00:00,001,颗粒物,,20,,0,0,2023-04-24T12:35:06.953,2023-04-26T14:31:03.53,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4FC7EAAF40531BF40,2023-04-23 00:00:00,002,二氧化硫,,80,,0,0,2023-04-24T12:35:06.953,2023-04-26T14:31:03.53,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4FC7EAAF40531BF40,2023-04-23 00:00:00,003,氮氧化物,,250,,0,0,2023-04-24T12:35:06.953,2023-04-26T14:31:03.53,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4FC7EAAF40531BF40,2023-04-23 00:00:00,004,一氧化碳,,80,,0,0,2023-04-24T12:35:06.953,2023-04-26T14:31:03.53,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4FC7EAAF40531BF40,2023-04-23 00:00:00,008,氯化氢,,50,,0,0,2023-04-24T12:35:06.957,2023-04-26T14:31:03.53,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4D5A9378865766383,2023-04-23 00:00:00,001,颗粒物,2.776,20,,0,0,2023-04-24T12:35:06.777,2023-04-25T14:34:32.657,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4D5A9378865766383,2023-04-23 00:00:00,002,二氧化硫,48.655,80,,0,0,2023-04-24T12:35:06.777,2023-04-25T14:34:32.657,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4D5A9378865766383,2023-04-23 00:00:00,003,氮氧化物,212.782,250,,0,0,2023-04-24T12:35:06.777,2023-04-25T14:34:32.657,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4D5A9378865766383,2023-04-23 00:00:00,004,一氧化碳,4.704,80,,0,0,2023-04-24T12:35:06.777,2023-04-25T14:34:32.657,20230423
F36E29EDDF4027B48A0FFDC106B04642,F36E29EDDF4027B4D5A9378865766383,2023-04-23 00:00:00,008,氯化氢,3.432,50,,0,0,2023-04-24T12:35:06.777,2023-04-25T14:34:32.657,20230423
