ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE64A84E309348EC5A,2023-04-18 00:00:00,001,颗粒物,1.343,20,,0,0,2023-04-19T12:35:08.69,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE64A84E309348EC5A,2023-04-18 00:00:00,002,二氧化硫,21.935,80,,0,0,2023-04-19T12:35:08.69,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE64A84E309348EC5A,2023-04-18 00:00:00,003,氮氧化物,133.986,250,,0,0,2023-04-19T12:35:08.69,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE64A84E309348EC5A,2023-04-18 00:00:00,004,一氧化碳,5.005,80,,0,0,2023-04-19T12:35:08.69,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE64A84E309348EC5A,2023-04-18 00:00:00,008,氯化氢,7.801,50,,0,0,2023-04-19T12:35:08.69,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE1718E25E7E37A7B0,2023-04-18 00:00:00,001,颗粒物,1.558,20,,0,0,2023-04-19T12:35:08.793,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE1718E25E7E37A7B0,2023-04-18 00:00:00,002,二氧化硫,35.152,80,,0,0,2023-04-19T12:35:08.793,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE1718E25E7E37A7B0,2023-04-18 00:00:00,003,氮氧化物,130.156,250,,0,0,2023-04-19T12:35:08.797,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE1718E25E7E37A7B0,2023-04-18 00:00:00,004,一氧化碳,2.698,80,,0,0,2023-04-19T12:35:08.797,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,1E0C72AC51CF5EBE1718E25E7E37A7B0,2023-04-18 00:00:00,008,氯化氢,4.373,50,,0,0,2023-04-19T12:35:08.797,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,70F2858406BD3B47B52EB50A017076F41DD41E2BE1C89D38ED73F97BE36C5890B613A5344CCA01F7,2023-04-18 00:00:00,001,颗粒物,1.154,20,,0,0,2023-04-19T12:35:08.413,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,70F2858406BD3B47B52EB50A017076F41DD41E2BE1C89D38ED73F97BE36C5890B613A5344CCA01F7,2023-04-18 00:00:00,002,二氧化硫,34.151,80,,0,0,2023-04-19T12:35:08.413,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,70F2858406BD3B47B52EB50A017076F41DD41E2BE1C89D38ED73F97BE36C5890B613A5344CCA01F7,2023-04-18 00:00:00,003,氮氧化物,134.384,250,,0,0,2023-04-19T12:35:08.413,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,70F2858406BD3B47B52EB50A017076F41DD41E2BE1C89D38ED73F97BE36C5890B613A5344CCA01F7,2023-04-18 00:00:00,004,一氧化碳,5.336,80,,0,0,2023-04-19T12:35:08.413,2023-04-20T14:30:42.55,20230418
1E0C72AC51CF5EBEAB298DB2915733D4,70F2858406BD3B47B52EB50A017076F41DD41E2BE1C89D38ED73F97BE36C5890B613A5344CCA01F7,2023-04-18 00:00:00,008,氯化氢,5.363,50,,0,0,2023-04-19T12:35:08.417,2023-04-20T14:30:42.55,20230418
