ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96E1752D57D94DEEC5,2023-04-10 00:00:00,001,颗粒物,2.455,20,,0,0,2023-04-11T12:35:08.24,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96E1752D57D94DEEC5,2023-04-10 00:00:00,002,二氧化硫,2.418,80,,0,0,2023-04-11T12:35:08.24,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96E1752D57D94DEEC5,2023-04-10 00:00:00,003,氮氧化物,48.188,250,,0,0,2023-04-11T12:35:08.237,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96E1752D57D94DEEC5,2023-04-10 00:00:00,004,一氧化碳,4.074,80,,0,0,2023-04-11T12:35:08.237,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96E1752D57D94DEEC5,2023-04-10 00:00:00,008,氯化氢,0.716,50,,0,0,2023-04-11T12:35:08.24,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96A9261D83D3569D87,2023-04-10 00:00:00,001,颗粒物,3.19,20,,0,0,2023-04-11T12:35:08.14,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96A9261D83D3569D87,2023-04-10 00:00:00,002,二氧化硫,7.75,80,,0,0,2023-04-11T12:35:08.14,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96A9261D83D3569D87,2023-04-10 00:00:00,003,氮氧化物,48.32,250,,0,0,2023-04-11T12:35:08.137,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96A9261D83D3569D87,2023-04-10 00:00:00,004,一氧化碳,6.782,80,,0,0,2023-04-11T12:35:08.14,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96A9261D83D3569D87,2023-04-10 00:00:00,008,氯化氢,1.267,50,,0,0,2023-04-11T12:35:08.14,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96CA5396F9182E4F9A,2023-04-10 00:00:00,001,颗粒物,2.009,20,,0,0,2023-04-11T12:35:08.337,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96CA5396F9182E4F9A,2023-04-10 00:00:00,002,二氧化硫,6.959,80,,0,0,2023-04-11T12:35:08.337,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96CA5396F9182E4F9A,2023-04-10 00:00:00,003,氮氧化物,48.221,250,,0,0,2023-04-11T12:35:08.337,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96CA5396F9182E4F9A,2023-04-10 00:00:00,004,一氧化碳,7.821,80,,0,0,2023-04-11T12:35:08.337,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC96CA5396F9182E4F9A,2023-04-10 00:00:00,008,氯化氢,1.546,50,,0,0,2023-04-11T12:35:08.337,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC9670BFA166FD17DE0F,2023-04-10 00:00:00,001,颗粒物,1.909,20,,0,0,2023-04-11T12:35:08.4,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC9670BFA166FD17DE0F,2023-04-10 00:00:00,002,二氧化硫,9.686,80,,0,0,2023-04-11T12:35:08.4,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC9670BFA166FD17DE0F,2023-04-10 00:00:00,003,氮氧化物,48.012,250,,0,0,2023-04-11T12:35:08.397,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC9670BFA166FD17DE0F,2023-04-10 00:00:00,004,一氧化碳,10.08,80,,0,0,2023-04-11T12:35:08.4,2023-04-12T14:31:58.23,20230410
4588CB97B8AEEC96D69AC9BB9F6914FE,4588CB97B8AEEC9670BFA166FD17DE0F,2023-04-10 00:00:00,008,氯化氢,2.141,50,,0,0,2023-04-11T12:35:08.4,2023-04-12T14:31:58.23,20230410
