ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D16B18B84F7B974A165,2023-04-07 00:00:00,001,颗粒物,9.402,20,,0,0,2023-04-08T12:35:08.78,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D16B18B84F7B974A165,2023-04-07 00:00:00,002,二氧化硫,40.911,80,,0,0,2023-04-08T12:35:08.78,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D16B18B84F7B974A165,2023-04-07 00:00:00,003,氮氧化物,212.116,250,,0,0,2023-04-08T12:35:08.78,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D16B18B84F7B974A165,2023-04-07 00:00:00,004,一氧化碳,1.04,80,,0,0,2023-04-08T12:35:08.78,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D16B18B84F7B974A165,2023-04-07 00:00:00,008,氯化氢,31.183,50,,0,0,2023-04-08T12:35:08.78,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D1683A23BFCF46F9B4E,2023-04-07 00:00:00,001,颗粒物,9.718,20,,0,0,2023-04-08T12:35:08.8,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D1683A23BFCF46F9B4E,2023-04-07 00:00:00,002,二氧化硫,42.216,80,,0,0,2023-04-08T12:35:08.8,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D1683A23BFCF46F9B4E,2023-04-07 00:00:00,003,氮氧化物,152.578,250,,0,0,2023-04-08T12:35:08.8,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D1683A23BFCF46F9B4E,2023-04-07 00:00:00,004,一氧化碳,1.222,80,,0,0,2023-04-08T12:35:08.8,2023-04-09T14:30:35.863,20230407
AC700F82BE361D1621215AF8EC2A056A,AC700F82BE361D1683A23BFCF46F9B4E,2023-04-07 00:00:00,008,氯化氢,23.798,50,,0,0,2023-04-08T12:35:08.8,2023-04-09T14:30:35.863,20230407
