ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2023-04-14 00:00:00,001,颗粒物,2.206,20,,0,0,2023-04-15T12:35:04.397,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2023-04-14 00:00:00,002,二氧化硫,4.03,80,,0,0,2023-04-15T12:35:04.397,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2023-04-14 00:00:00,003,氮氧化物,50.78,250,,0,0,2023-04-15T12:35:04.397,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2023-04-14 00:00:00,004,一氧化碳,1.621,80,,0,0,2023-04-15T12:35:04.4,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2023-04-14 00:00:00,008,氯化氢,3.247,50,,0,0,2023-04-15T12:35:04.4,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2023-04-14 00:00:00,001,颗粒物,2.444,20,,0,0,2023-04-15T12:35:04.48,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2023-04-14 00:00:00,002,二氧化硫,5.016,80,,0,0,2023-04-15T12:35:04.48,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2023-04-14 00:00:00,003,氮氧化物,51.51,250,,0,0,2023-04-15T12:35:04.48,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2023-04-14 00:00:00,004,一氧化碳,3.241,80,,0,0,2023-04-15T12:35:04.48,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2023-04-14 00:00:00,008,氯化氢,1.431,50,,0,0,2023-04-15T12:35:04.48,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2023-04-14 00:00:00,001,颗粒物,2.778,20,,0,0,2023-04-15T12:35:04.41,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2023-04-14 00:00:00,002,二氧化硫,2.778,80,,0,0,2023-04-15T12:35:04.41,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2023-04-14 00:00:00,003,氮氧化物,53.083,250,,0,0,2023-04-15T12:35:04.41,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2023-04-14 00:00:00,004,一氧化碳,3.439,80,,0,0,2023-04-15T12:35:04.413,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2023-04-14 00:00:00,008,氯化氢,2.281,50,,0,0,2023-04-15T12:35:04.413,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2023-04-14 00:00:00,001,颗粒物,1.435,20,,0,0,2023-04-15T12:35:04.443,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2023-04-14 00:00:00,002,二氧化硫,4.113,80,,0,0,2023-04-15T12:35:04.447,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2023-04-14 00:00:00,003,氮氧化物,51.839,250,,0,0,2023-04-15T12:35:04.447,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2023-04-14 00:00:00,004,一氧化碳,3.402,80,,0,0,2023-04-15T12:35:04.447,2023-04-16T14:30:21.5,20230414
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2023-04-14 00:00:00,008,氯化氢,2.286,50,,0,0,2023-04-15T12:35:04.447,2023-04-16T14:30:21.5,20230414
