ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2023-04-02 00:00:00,001,颗粒物,,20,,0,0,2023-04-03T12:35:06.457,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2023-04-02 00:00:00,002,二氧化硫,,80,,0,0,2023-04-03T12:35:06.46,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2023-04-02 00:00:00,003,氮氧化物,,250,,0,0,2023-04-03T12:35:06.46,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2023-04-02 00:00:00,004,一氧化碳,,80,,0,0,2023-04-03T12:35:06.46,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095D200427DFAAF3C649692AF55607965D8,2023-04-02 00:00:00,008,氯化氢,,50,,0,0,2023-04-03T12:35:06.46,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2023-04-02 00:00:00,001,颗粒物,12.032,20,,0,0,2023-04-03T12:35:06.93,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2023-04-02 00:00:00,002,二氧化硫,9.25,80,,0,0,2023-04-03T12:35:06.93,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2023-04-02 00:00:00,003,氮氧化物,183.933,250,,0,0,2023-04-03T12:35:06.93,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2023-04-02 00:00:00,004,一氧化碳,19.626,80,,0,0,2023-04-03T12:35:06.93,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B0955B024BCA7754B06EB1F9CBFAB3C81F1F,2023-04-02 00:00:00,008,氯化氢,17.672,50,,0,0,2023-04-03T12:35:06.933,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2023-04-02 00:00:00,001,颗粒物,10.647,20,,0,0,2023-04-03T12:35:06.377,2023-04-03T12:35:06.377,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2023-04-02 00:00:00,002,二氧化硫,1.208,80,,0,0,2023-04-03T12:35:06.377,2023-04-03T12:35:06.377,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2023-04-02 00:00:00,003,氮氧化物,72.531,250,,0,0,2023-04-03T12:35:06.377,2023-04-03T12:35:06.377,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2023-04-02 00:00:00,004,一氧化碳,20.088,80,,0,0,2023-04-03T12:35:06.377,2023-04-03T12:35:06.377,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095FB368FB3F4C533970DCCA4F5C934B724,2023-04-02 00:00:00,008,氯化氢,8.582,50,,0,0,2023-04-03T12:35:06.377,2023-04-03T12:35:06.377,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2023-04-02 00:00:00,001,颗粒物,19.201,20,,0,0,2023-04-03T12:35:07.117,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2023-04-02 00:00:00,002,二氧化硫,11.391,80,,0,0,2023-04-03T12:35:07.117,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2023-04-02 00:00:00,003,氮氧化物,158.411,250,,0,0,2023-04-03T12:35:07.117,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2023-04-02 00:00:00,004,一氧化碳,21.052,80,,0,0,2023-04-03T12:35:07.117,2023-04-04T14:31:38.847,20230402
26E07A88ECC5B0956AC4C3741FBE8FDA,26E07A88ECC5B095BC4423DADB8C86C2,2023-04-02 00:00:00,008,氯化氢,12.44,50,,0,0,2023-04-03T12:35:07.117,2023-04-04T14:31:38.847,20230402
