ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
B93B47F2D7583850B357B921138E9692,B93B47F2D75838502DAD701D9621856F,2023-04-18 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-04-19T12:35:07.487,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838502DAD701D9621856F,2023-04-18 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-04-19T12:35:07.487,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838502DAD701D9621856F,2023-04-18 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-04-19T12:35:07.487,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838502DAD701D9621856F,2023-04-18 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-04-19T12:35:07.49,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838502DAD701D9621856F,2023-04-18 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-04-19T12:35:07.49,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D7583850C76149039565FCB9,2023-04-18 00:00:00,001,颗粒物,5.438,20,CEMS维护,0,0,2023-04-19T12:35:07.473,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D7583850C76149039565FCB9,2023-04-18 00:00:00,002,二氧化硫,42.068,80,CEMS维护,0,0,2023-04-19T12:35:07.473,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D7583850C76149039565FCB9,2023-04-18 00:00:00,003,氮氧化物,161.248,250,CEMS维护,0,0,2023-04-19T12:35:07.477,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D7583850C76149039565FCB9,2023-04-18 00:00:00,004,一氧化碳,9.77,80,CEMS维护,0,0,2023-04-19T12:35:07.477,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D7583850C76149039565FCB9,2023-04-18 00:00:00,008,氯化氢,5.193,50,CEMS维护,0,0,2023-04-19T12:35:07.477,2023-05-08T14:32:56.33,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838504F6197EF5F8D13B0,2023-04-18 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-04-19T12:35:07.503,2023-04-20T14:30:42.55,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838504F6197EF5F8D13B0,2023-04-18 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-04-19T12:35:07.503,2023-04-20T14:30:42.55,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838504F6197EF5F8D13B0,2023-04-18 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-04-19T12:35:07.503,2023-04-20T14:30:42.55,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838504F6197EF5F8D13B0,2023-04-18 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-04-19T12:35:07.503,2023-04-20T14:30:42.55,20230418
B93B47F2D7583850B357B921138E9692,B93B47F2D75838504F6197EF5F8D13B0,2023-04-18 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-04-19T12:35:07.503,2023-04-20T14:30:42.55,20230418
