ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
E568601951AA3878CAB852D004918222,E568601951AA3878EFE7973BEDAE4DED,2023-04-29 00:00:00,001,颗粒物,7.69,20,,0,0,2023-04-30T12:35:07.587,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878EFE7973BEDAE4DED,2023-04-29 00:00:00,002,二氧化硫,24.16,80,,0,0,2023-04-30T12:35:07.59,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878EFE7973BEDAE4DED,2023-04-29 00:00:00,003,氮氧化物,81.22,250,,0,0,2023-04-30T12:35:07.597,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878EFE7973BEDAE4DED,2023-04-29 00:00:00,004,一氧化碳,3.81,80,,0,0,2023-04-30T12:35:07.6,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878EFE7973BEDAE4DED,2023-04-29 00:00:00,008,氯化氢,3.51,50,,0,0,2023-04-30T12:35:07.603,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878BB410D14ED2D800C,2023-04-29 00:00:00,001,颗粒物,,20,,0,0,2023-04-30T12:35:07.3,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878BB410D14ED2D800C,2023-04-29 00:00:00,002,二氧化硫,,80,,0,0,2023-04-30T12:35:07.307,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878BB410D14ED2D800C,2023-04-29 00:00:00,003,氮氧化物,,250,,0,0,2023-04-30T12:35:07.31,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878BB410D14ED2D800C,2023-04-29 00:00:00,004,一氧化碳,,80,,0,0,2023-04-30T12:35:07.313,2023-05-01T14:30:11.703,20230429
E568601951AA3878CAB852D004918222,E568601951AA3878BB410D14ED2D800C,2023-04-29 00:00:00,008,氯化氢,,50,,0,0,2023-04-30T12:35:07.32,2023-05-01T14:30:11.703,20230429
