ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607C425B06C8B5F2D9C,2023-04-24 00:00:00,001,颗粒物,1.241,20,,0,0,2023-04-25T12:35:08.82,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607C425B06C8B5F2D9C,2023-04-24 00:00:00,002,二氧化硫,9.394,80,,0,0,2023-04-25T12:35:08.82,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607C425B06C8B5F2D9C,2023-04-24 00:00:00,003,氮氧化物,154.834,250,,0,0,2023-04-25T12:35:08.82,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607C425B06C8B5F2D9C,2023-04-24 00:00:00,004,一氧化碳,4.057,80,,0,0,2023-04-25T12:35:08.82,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607C425B06C8B5F2D9C,2023-04-24 00:00:00,008,氯化氢,24.941,50,,0,0,2023-04-25T12:35:08.82,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607D94985FDC1AA15F2,2023-04-24 00:00:00,001,颗粒物,,20,,0,0,2023-04-25T12:35:08.817,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607D94985FDC1AA15F2,2023-04-24 00:00:00,002,二氧化硫,,80,,0,0,2023-04-25T12:35:08.817,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607D94985FDC1AA15F2,2023-04-24 00:00:00,003,氮氧化物,,250,,0,0,2023-04-25T12:35:08.817,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607D94985FDC1AA15F2,2023-04-24 00:00:00,004,一氧化碳,,80,,0,0,2023-04-25T12:35:08.817,2023-04-26T14:31:03.53,20230424
F544C07D193E0607EC9EFEA55331F6CA,F544C07D193E0607D94985FDC1AA15F2,2023-04-24 00:00:00,008,氯化氢,,50,,0,0,2023-04-25T12:35:08.817,2023-04-26T14:31:03.53,20230424
