ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9A88B06566B351E20F50194569937D30,9A88B06566B351E2ED9B501FF7C84FBF,2023-04-22 00:00:00,001,颗粒物,0.23,20,,0,0,2023-04-23T12:35:06.137,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2ED9B501FF7C84FBF,2023-04-22 00:00:00,002,二氧化硫,53.6,80,,0,0,2023-04-23T12:35:06.137,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2ED9B501FF7C84FBF,2023-04-22 00:00:00,003,氮氧化物,147.09,250,,0,0,2023-04-23T12:35:06.137,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2ED9B501FF7C84FBF,2023-04-22 00:00:00,004,一氧化碳,4.81,80,,0,0,2023-04-23T12:35:06.137,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2ED9B501FF7C84FBF,2023-04-22 00:00:00,008,氯化氢,13.21,50,,0,0,2023-04-23T12:35:06.137,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2D4F3B5E11643BCAA,2023-04-22 00:00:00,001,颗粒物,0.86,20,,0,0,2023-04-23T12:35:06.107,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2D4F3B5E11643BCAA,2023-04-22 00:00:00,002,二氧化硫,57.97,80,,0,0,2023-04-23T12:35:06.103,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2D4F3B5E11643BCAA,2023-04-22 00:00:00,003,氮氧化物,158.49,250,,0,0,2023-04-23T12:35:06.103,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2D4F3B5E11643BCAA,2023-04-22 00:00:00,004,一氧化碳,5.28,80,,0,0,2023-04-23T12:35:06.103,2023-04-24T14:30:23.12,20230422
9A88B06566B351E20F50194569937D30,9A88B06566B351E2D4F3B5E11643BCAA,2023-04-22 00:00:00,008,氯化氢,5.88,50,,0,0,2023-04-23T12:35:06.103,2023-04-24T14:30:23.12,20230422
