ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2023-04-21 00:00:00,001,颗粒物,0.91,20,,0,0,2023-04-22T12:35:07.19,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2023-04-21 00:00:00,002,二氧化硫,7.01,80,,0,0,2023-04-22T12:35:07.187,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2023-04-21 00:00:00,003,氮氧化物,170.38,250,,0,0,2023-04-22T12:35:07.19,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2023-04-21 00:00:00,004,一氧化碳,2.37,80,,0,0,2023-04-22T12:35:07.19,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2023-04-21 00:00:00,008,氯化氢,8.94,50,,0,0,2023-04-22T12:35:07.19,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2023-04-21 00:00:00,001,颗粒物,0.9,20,,0,0,2023-04-22T12:35:06.627,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2023-04-21 00:00:00,002,二氧化硫,2.42,80,,0,0,2023-04-22T12:35:06.623,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2023-04-21 00:00:00,003,氮氧化物,136.4,250,,0,0,2023-04-22T12:35:06.623,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2023-04-21 00:00:00,004,一氧化碳,2.56,80,,0,0,2023-04-22T12:35:06.627,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2023-04-21 00:00:00,008,氯化氢,14.44,50,,0,0,2023-04-22T12:35:06.627,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2023-04-21 00:00:00,001,颗粒物,0.43,20,,0,0,2023-04-22T12:35:06.943,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2023-04-21 00:00:00,002,二氧化硫,5.42,80,,0,0,2023-04-22T12:35:06.94,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2023-04-21 00:00:00,003,氮氧化物,137.17,250,,0,0,2023-04-22T12:35:06.94,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2023-04-21 00:00:00,004,一氧化碳,10.27,80,,0,0,2023-04-22T12:35:06.943,2023-04-23T14:30:45.507,20230421
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2023-04-21 00:00:00,008,氯化氢,17.74,50,,0,0,2023-04-22T12:35:06.94,2023-04-23T14:30:45.507,20230421
