ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A05E92C181EA0B95A,2023-04-21 00:00:00,001,颗粒物,7.99,20,,0,0,2023-04-22T12:35:07.483,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A05E92C181EA0B95A,2023-04-21 00:00:00,002,二氧化硫,0.24,80,,0,0,2023-04-22T12:35:07.483,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A05E92C181EA0B95A,2023-04-21 00:00:00,003,氮氧化物,222.66,250,,0,0,2023-04-22T12:35:07.483,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A05E92C181EA0B95A,2023-04-21 00:00:00,004,一氧化碳,20.513,80,,0,0,2023-04-22T12:35:07.483,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A05E92C181EA0B95A,2023-04-21 00:00:00,008,氯化氢,27.83,50,,0,0,2023-04-22T12:35:07.487,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4AAFC8A8034C15CA,2023-04-21 00:00:00,001,颗粒物,3.94,20,,0,0,2023-04-22T12:35:07.457,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4AAFC8A8034C15CA,2023-04-21 00:00:00,002,二氧化硫,6.6,80,,0,0,2023-04-22T12:35:07.46,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4AAFC8A8034C15CA,2023-04-21 00:00:00,003,氮氧化物,207.501,250,,0,0,2023-04-22T12:35:07.46,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4AAFC8A8034C15CA,2023-04-21 00:00:00,004,一氧化碳,38.021,80,,0,0,2023-04-22T12:35:07.46,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4AAFC8A8034C15CA,2023-04-21 00:00:00,008,氯化氢,26.92,50,,0,0,2023-04-22T12:35:07.46,2023-04-23T14:30:45.507,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4B1F9A9107C5D548,2023-04-21 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-04-22T12:35:07.45,2023-05-08T14:32:56.33,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4B1F9A9107C5D548,2023-04-21 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-04-22T12:35:07.45,2023-05-08T14:32:56.33,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4B1F9A9107C5D548,2023-04-21 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-04-22T12:35:07.45,2023-05-08T14:32:56.33,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4B1F9A9107C5D548,2023-04-21 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-04-22T12:35:07.45,2023-05-08T14:32:56.33,20230421
5AC8CE20B62DF98A0ACAEACEE7DB9CE1,5AC8CE20B62DF98A4B1F9A9107C5D548,2023-04-21 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-04-22T12:35:07.45,2023-05-08T14:32:56.33,20230421
