ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
5F537522C722293B7778C01F91E28BBD,5F537522C722293B92955C778BA8CDE4,2023-04-01 00:00:00,001,颗粒物,6.735,20,CEMS维护,0,0,2023-04-02T12:35:03.143,2023-05-08T14:32:56.33,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293B92955C778BA8CDE4,2023-04-01 00:00:00,002,二氧化硫,17.301,80,CEMS维护,0,0,2023-04-02T12:35:03.143,2023-05-08T14:32:56.33,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293B92955C778BA8CDE4,2023-04-01 00:00:00,003,氮氧化物,173.926,250,CEMS维护,0,0,2023-04-02T12:35:03.143,2023-05-08T14:32:56.33,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293B92955C778BA8CDE4,2023-04-01 00:00:00,004,一氧化碳,21.475,80,CEMS维护,0,0,2023-04-02T12:35:03.143,2023-05-08T14:32:56.33,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293B92955C778BA8CDE4,2023-04-01 00:00:00,008,氯化氢,3.375,50,CEMS维护,0,0,2023-04-02T12:35:03.143,2023-05-08T14:32:56.33,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293BE6DB95ABE46563B5,2023-04-01 00:00:00,001,颗粒物,7.8,20,,0,0,2023-04-02T12:35:03.12,2023-04-03T14:30:33.71,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293BE6DB95ABE46563B5,2023-04-01 00:00:00,002,二氧化硫,6.1,80,,0,0,2023-04-02T12:35:03.123,2023-04-03T14:30:33.71,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293BE6DB95ABE46563B5,2023-04-01 00:00:00,003,氮氧化物,165.4,250,,0,0,2023-04-02T12:35:03.123,2023-04-03T14:30:33.71,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293BE6DB95ABE46563B5,2023-04-01 00:00:00,004,一氧化碳,24.82,80,,0,0,2023-04-02T12:35:03.123,2023-04-03T14:30:33.71,20230401
5F537522C722293B7778C01F91E28BBD,5F537522C722293BE6DB95ABE46563B5,2023-04-01 00:00:00,008,氯化氢,5.67,50,,0,0,2023-04-02T12:35:03.123,2023-04-03T14:30:33.71,20230401
