ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-04-15 00:00:00,001,颗粒物,4.64,20,,0,0,2023-04-16T12:35:03.927,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-04-15 00:00:00,002,二氧化硫,62.783,80,,0,0,2023-04-16T12:35:03.927,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-04-15 00:00:00,003,氮氧化物,174.277,250,,0,0,2023-04-16T12:35:03.927,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-04-15 00:00:00,004,一氧化碳,0.708,80,,0,0,2023-04-16T12:35:03.93,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2023-04-15 00:00:00,008,氯化氢,16.941,50,,0,0,2023-04-16T12:35:03.93,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-04-15 00:00:00,001,颗粒物,,20,,0,0,2023-04-16T12:35:03.46,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-04-15 00:00:00,002,二氧化硫,,80,,0,0,2023-04-16T12:35:03.46,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-04-15 00:00:00,003,氮氧化物,,250,,0,0,2023-04-16T12:35:03.46,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-04-15 00:00:00,004,一氧化碳,,80,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2023-04-15 00:00:00,008,氯化氢,,50,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-04-15 00:00:00,001,颗粒物,,20,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-04-15 00:00:00,002,二氧化硫,,80,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-04-15 00:00:00,003,氮氧化物,,250,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-04-15 00:00:00,004,一氧化碳,,80,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2023-04-15 00:00:00,008,氯化氢,,50,,0,0,2023-04-16T12:35:03.463,2023-04-17T14:30:27.313,20230415
