ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1B1B873C3BD15393CD9696B9E9613EF1,1B1B873C3BD15393ABC37BB7D4ADEE60,2023-04-21 00:00:00,001,颗粒物,1.259,10,,0,0,2023-04-22T12:35:08.24,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,1B1B873C3BD15393ABC37BB7D4ADEE60,2023-04-21 00:00:00,002,二氧化硫,25.583,35,,0,0,2023-04-22T12:35:08.24,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,1B1B873C3BD15393ABC37BB7D4ADEE60,2023-04-21 00:00:00,003,氮氧化物,78.115,100,,0,0,2023-04-22T12:35:08.24,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,1B1B873C3BD15393ABC37BB7D4ADEE60,2023-04-21 00:00:00,004,一氧化碳,1.859,80,,0,0,2023-04-22T12:35:08.243,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,1B1B873C3BD15393ABC37BB7D4ADEE60,2023-04-21 00:00:00,008,氯化氢,6.042,50,,0,0,2023-04-22T12:35:08.24,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,5F35E14AC26672499B4CBCF189F46CDB8A5E74F0AC635537846DC07C77F92D80167CC54CCAB3BE41,2023-04-21 00:00:00,001,颗粒物,1.231,10,,0,0,2023-04-22T12:35:06.427,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,5F35E14AC26672499B4CBCF189F46CDB8A5E74F0AC635537846DC07C77F92D80167CC54CCAB3BE41,2023-04-21 00:00:00,002,二氧化硫,24.701,35,,0,0,2023-04-22T12:35:06.43,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,5F35E14AC26672499B4CBCF189F46CDB8A5E74F0AC635537846DC07C77F92D80167CC54CCAB3BE41,2023-04-21 00:00:00,003,氮氧化物,68.102,100,,0,0,2023-04-22T12:35:06.43,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,5F35E14AC26672499B4CBCF189F46CDB8A5E74F0AC635537846DC07C77F92D80167CC54CCAB3BE41,2023-04-21 00:00:00,004,一氧化碳,2.134,80,,0,0,2023-04-22T12:35:06.43,2023-04-23T14:30:45.507,20230421
1B1B873C3BD15393CD9696B9E9613EF1,5F35E14AC26672499B4CBCF189F46CDB8A5E74F0AC635537846DC07C77F92D80167CC54CCAB3BE41,2023-04-21 00:00:00,008,氯化氢,5.617,50,,0,0,2023-04-22T12:35:06.43,2023-04-23T14:30:45.507,20230421
