ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-04-26 00:00:00,001,颗粒物,1.86,20,,0,0,2023-04-27T12:35:03.753,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-04-26 00:00:00,002,二氧化硫,12.77,80,,0,0,2023-04-27T12:35:03.753,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-04-26 00:00:00,003,氮氧化物,97.24,150,,0,0,2023-04-27T12:35:03.753,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-04-26 00:00:00,004,一氧化碳,10.677,80,,0,0,2023-04-27T12:35:03.753,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-04-26 00:00:00,008,氯化氢,3.867,50,,0,0,2023-04-27T12:35:03.753,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-04-26 00:00:00,001,颗粒物,3.41,20,,0,0,2023-04-27T12:35:03.93,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-04-26 00:00:00,002,二氧化硫,17.92,80,,0,0,2023-04-27T12:35:03.93,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-04-26 00:00:00,003,氮氧化物,96.31,150,,0,0,2023-04-27T12:35:03.933,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-04-26 00:00:00,004,一氧化碳,15.295,80,,0,0,2023-04-27T12:35:03.933,2023-04-28T14:30:43.033,20230426
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-04-26 00:00:00,008,氯化氢,3.897,50,,0,0,2023-04-27T12:35:03.933,2023-04-28T14:30:43.033,20230426
