ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27C2D470B368B7BAD82,2023-04-20 00:00:00,001,颗粒物,14.09,20,,0,0,2023-04-21T12:35:06.043,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27C2D470B368B7BAD82,2023-04-20 00:00:00,002,二氧化硫,24.92,80,,0,0,2023-04-21T12:35:06.043,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27C2D470B368B7BAD82,2023-04-20 00:00:00,003,氮氧化物,182.1,250,,0,0,2023-04-21T12:35:06.043,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27C2D470B368B7BAD82,2023-04-20 00:00:00,004,一氧化碳,10.28,80,,0,0,2023-04-21T12:35:06.043,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27C2D470B368B7BAD82,2023-04-20 00:00:00,008,氯化氢,13.1,50,,0,0,2023-04-21T12:35:06.043,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27CE7847E13DC4AB14A,2023-04-20 00:00:00,001,颗粒物,10.66,20,,0,0,2023-04-21T12:35:06.11,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27CE7847E13DC4AB14A,2023-04-20 00:00:00,002,二氧化硫,18.68,80,,0,0,2023-04-21T12:35:06.11,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27CE7847E13DC4AB14A,2023-04-20 00:00:00,003,氮氧化物,170.1,250,,0,0,2023-04-21T12:35:06.11,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27CE7847E13DC4AB14A,2023-04-20 00:00:00,004,一氧化碳,18.74,80,,0,0,2023-04-21T12:35:06.11,2023-04-22T14:30:50.217,20230420
CBB517961CECB27CDFEB9A968224F81D,CBB517961CECB27CE7847E13DC4AB14A,2023-04-20 00:00:00,008,氯化氢,12.94,50,,0,0,2023-04-21T12:35:06.11,2023-04-22T14:30:50.217,20230420
