ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B64B11D8B35BC3AAD3,2023-04-02 00:00:00,001,颗粒物,1.15,20,,0,0,2023-04-03T12:35:04.23,2023-04-04T14:31:38.847,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B64B11D8B35BC3AAD3,2023-04-02 00:00:00,002,二氧化硫,43.95,80,,0,0,2023-04-03T12:35:04.23,2023-04-04T14:31:38.847,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B64B11D8B35BC3AAD3,2023-04-02 00:00:00,003,氮氧化物,131.52,250,,0,0,2023-04-03T12:35:04.23,2023-04-04T14:31:38.847,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B64B11D8B35BC3AAD3,2023-04-02 00:00:00,004,一氧化碳,4.955,80,,0,0,2023-04-03T12:35:04.23,2023-04-04T14:31:38.847,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B64B11D8B35BC3AAD3,2023-04-02 00:00:00,008,氯化氢,2.2,50,,0,0,2023-04-03T12:35:04.23,2023-04-04T14:31:38.847,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B60294FE95EAB400CA,2023-04-02 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-04-03T12:35:04.27,2023-04-05T14:30:36.227,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B60294FE95EAB400CA,2023-04-02 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-04-03T12:35:04.27,2023-04-05T14:30:36.227,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B60294FE95EAB400CA,2023-04-02 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-04-03T12:35:04.27,2023-04-05T14:30:36.227,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B60294FE95EAB400CA,2023-04-02 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-04-03T12:35:04.27,2023-04-05T14:30:36.227,20230402
7A57E25935FED4B684AFB9828977D18A,7A57E25935FED4B60294FE95EAB400CA,2023-04-02 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-04-03T12:35:04.27,2023-04-05T14:30:36.227,20230402
